x00   	    x01   	    x02   	    x03   	    x10   	    x11   	    x12   	    x13   	    x20   	    x21   	    x22   	    x23   	    x30   	    x31   	    x32   	    x33   	    x40   	    x41   	    x42   	    x43   	    x50   	    x51   	    x52   	    x53   	    x60   	    x61   	    x62   	    x63   	    x70   	    x71   	    x72   	    x73   	    x80   	    x81   	    x82   	    x83   	    x90   	    x91   	    x92   	    x93   	    x100   	    x101   	    x102   	    x103   	    x110   	    x111   	    x112   	    x113   	    x120   	    x121   	    x122   	    x123   	    x130   	    x131   	    x132   	    x133   	    x140   	    x141   	    x142   	    x143   	    x150   	    x151   	    x152   	    x153   	    

1   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    -0.8   	    0   	    -0.1   	    -0.1   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    
0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    
0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0.1   	    0.9   	    0.9   	    0.1   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    -0.8   	    0   	    -0.1   	    -0.1   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    
0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    -0.1   	    -0.1   	    -0.8   	    0   	    1   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    -0.8   	    0   	    -0.1   	    -0.1   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    
0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0.9   	    0.9   	    1   	    0.2   	    -0.1   	    -0.1   	    0   	    -0.8   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    -0.8   	    0   	    -0.1   	    -0.1   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    
0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    -0.1   	    -0.1   	    -0.8   	    0   	    0.2   	    1   	    0.9   	    0.9   	    -0.1   	    -0.1   	    0   	    -0.8   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    -0.8   	    0   	    -0.1   	    -0.1   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    
0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    -0.8   	    -0.1   	    -0.1   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    -0.1   	    -0.1   	    -0.8   	    0   	    1   	    0.2   	    0.9   	    0.9   	    -0.1   	    -0.1   	    0   	    -0.8   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    
0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    -0.1   	    -0.1   	    -0.8   	    0   	    0.9   	    0.9   	    0.2   	    1   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    -0.8   	    0   	    -0.1   	    -0.1   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    
0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    -0.8   	    -0.1   	    -0.1   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0.9   	    0.9   	    1   	    0.2   	    -0.1   	    -0.1   	    0   	    -0.8   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    -0.8   	    0   	    -0.1   	    -0.1   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    
0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    -0.8   	    -0.1   	    -0.1   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    -0.1   	    -0.1   	    -0.8   	    0   	    0.9   	    0.9   	    0.2   	    1   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    -0.8   	    0   	    -0.1   	    -0.1   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    0   	    
